"id","company_name","date","rd_budget","buget_use_rate","capital","turnover","net_income","income_capital_ratio","income_per_capital","all_capital","debt","SH_equity","cost","EPS","outside_income","season","month","update_time"
"108386","5521 工信","2018","0","0","1582151","78315","38721","1.11","0.31","9146584","5286038","3860546","1542557","0.02","1.77","2","6","2022-03-31 22:11:04"
"52589","6803 崑鼎","2011","0","0","2588186","127997","579820","99.29","99.96","6344494","3596829","2747665","1880369","7.7","0.15","3","9","2022-03-31 21:41:45"
"63632","3163 波若威","2013","14037","3.51","399638","47997","37128","5.44","6.65","1685981","546171","1139810","314513","0.72","2.07","1","3","2022-03-31 21:47:32"
"28918","1313 聯成","2008","0","0","16309650","527855","540907","6.44","11.8","27552210","13441040","14111170","15240888","1","2.76","2","6","2022-03-31 21:29:16"
"12686","1752 南光","2003","19146","4.29","446175","119759","42656","10.56","8.94","913162","412417","500745","283760","0.77","1.47","4","12","2022-03-31 21:20:58"
"81199","5505 和旺","2015","0","0","1022416","2526956","2290514","164.98","271","2911889","4507477","1595588","785974","27.1","143.96","1","3","2022-03-31 21:56:44"
"29958","6026 福邦證","2008","0","0","38281","55012","27406","1.97","1.05","1436961","98264","1338697","0","0.11","0","2","6","2022-03-31 21:29:50"
"33863","3537 堡達","2009","0","0","591070","31572","23902","7.01","10.51","1375959","749398","626561","535596","0.79","2.02","1","3","2022-03-31 21:31:54"
"25050","3164 景岳","2007","24741","9.77","253147","145614","67255","14.98","14.98","571680","47040","524640","40278","1.28","0.01","4","12","2022-03-31 21:27:17"
"25581","1718 中纖","2007","0","0","30998517","4123462","4246101","29","27.13","290126309","257948016","32178293","22628954","1.66","0.88","4","12","2022-03-31 21:27:33"
"114119","8410 森田","2019","12866","6.91","186160","56108","50","0.01","1.87","1853157","439505","1413652","130002","0.15","3.65","1","3","2022-03-31 22:14:03"
"66421","000960 富邦證券","2013","0","0","2663413","2331466","159522","0.96","2.55","53174342","23209884","29964458","0","0.23","9.95","2","6","2022-03-31 21:48:59"
"102647","4770 上品","2017","40325","1.76","2295817","319560","808553","119.96","114.22","2873423","850120","2023303","1167704","8.79","1.69","4","12","2022-03-31 22:08:02"
